paralog_pair,gene_A,gene_B,n_cell_lines_scored,scored_in_PC9,scored_in_HeLa,prediction_PC9,prediction_HeLa
ELOA3BP_ELOA3DP,ELOA3BP,ELOA3DP,1,TRUE,FALSE,0.090328775,
ELOA3BP_ELOA3P,ELOA3BP,ELOA3P,1,TRUE,FALSE,0.098651633,
ELOA3CP_ELOA3DP,ELOA3CP,ELOA3DP,1,TRUE,FALSE,0.052589439,
ELOA3CP_ELOA3P,ELOA3CP,ELOA3P,1,TRUE,FALSE,0.069973283,
ELOA3DP_ELOA3P,ELOA3DP,ELOA3P,1,TRUE,FALSE,0.086887851,
ERVV-1_ERVV-2,ERVV-1,ERVV-2,1,TRUE,FALSE,0.158591151,
FABP5_FABP9,FABP5,FABP9,2,TRUE,TRUE,0.074297123,0.008967615
FAM156A_FAM156B,FAM156A,FAM156B,1,TRUE,FALSE,0.05880386,
FAM25C_FAM25G,FAM25C,FAM25G,1,TRUE,FALSE,0.27711606,
FAM72A_FAM72B,FAM72A,FAM72B,1,TRUE,FALSE,0.171470612,
FAM72A_FAM72C,FAM72A,FAM72C,1,TRUE,FALSE,0.152291089,
FAM72A_FAM72D,FAM72A,FAM72D,1,TRUE,FALSE,0.088064216,
FAM72B_FAM72C,FAM72B,FAM72C,1,TRUE,FALSE,0.155261174,
FAM72B_FAM72D,FAM72B,FAM72D,1,TRUE,FALSE,0.124101467,
FAM72C_FAM72D,FAM72C,FAM72D,1,TRUE,FALSE,0.088304579,
FAM90A1_FAM90A26,FAM90A1,FAM90A26,2,TRUE,TRUE,0.058178145,0.11551705
FCGBP_ZAN,FCGBP,ZAN,2,TRUE,TRUE,0.004010844,0.003909615
FFAR3_GPR42,FFAR3,GPR42,1,TRUE,FALSE,0.166979969,
FFAR3_P2RY8,FFAR3,P2RY8,1,TRUE,FALSE,0.010798674,
FOLR3_IZUMO1R,FOLR3,IZUMO1R,2,TRUE,TRUE,0.044876121,0.018629652
FOXD1_FOXD4L1,FOXD1,FOXD4L1,2,TRUE,TRUE,0.012290356,0.003569629
FOXD1_FOXD4L3,FOXD1,FOXD4L3,2,TRUE,TRUE,0.012369128,0.003609363
FOXD1_FOXD4L4,FOXD1,FOXD4L4,2,TRUE,TRUE,0.0122137,0.004334786
FOXD1_FOXD4L5,FOXD1,FOXD4L5,2,TRUE,TRUE,0.007536243,0.004746254
FOXD1_FOXD4L6,FOXD1,FOXD4L6,2,TRUE,TRUE,0.031772748,0.062700912
FOXD1_FOXI3,FOXD1,FOXI3,2,TRUE,TRUE,0.011975962,0.005039635
FOXD4L1_FOXD4L3,FOXD4L1,FOXD4L3,1,TRUE,FALSE,0.115257047,
FOXD4L1_FOXD4L4,FOXD4L1,FOXD4L4,1,TRUE,FALSE,0.060302611,
FOXD4L1_FOXD4L5,FOXD4L1,FOXD4L5,1,TRUE,FALSE,0.065068968,
FOXD4L1_FOXD4L6,FOXD4L1,FOXD4L6,1,TRUE,FALSE,0.08391057,
FOXD4L1_FOXI3,FOXD4L1,FOXI3,1,TRUE,FALSE,0.017446063,
FOXD4L3_FOXD4L4,FOXD4L3,FOXD4L4,1,TRUE,FALSE,0.078143723,
FOXD4L3_FOXD4L5,FOXD4L3,FOXD4L5,1,TRUE,FALSE,0.098674633,
FOXD4L3_FOXD4L6,FOXD4L3,FOXD4L6,1,TRUE,FALSE,0.103779338,
FOXD4L3_FOXI3,FOXD4L3,FOXI3,1,TRUE,FALSE,0.038127225,
FOXD4L4_FOXD4L5,FOXD4L4,FOXD4L5,1,TRUE,FALSE,0.097129822,
FOXD4L4_FOXD4L6,FOXD4L4,FOXD4L6,1,TRUE,FALSE,0.102719612,
FOXD4L4_FOXI3,FOXD4L4,FOXI3,1,TRUE,FALSE,0.041516829,
FOXD4L5_FOXD4L6,FOXD4L5,FOXD4L6,1,TRUE,FALSE,0.096237443,
FOXD4L5_FOXI3,FOXD4L5,FOXI3,1,TRUE,FALSE,0.054146957,
FOXD4L6_FOXI3,FOXD4L6,FOXI3,1,TRUE,FALSE,0.05924347,
GAGE10_GAGE12C,GAGE10,GAGE12C,1,TRUE,FALSE,0.017862964,
GAGE10_GAGE12D,GAGE10,GAGE12D,1,TRUE,FALSE,0.0174393,
GAGE10_GAGE12E,GAGE10,GAGE12E,1,TRUE,FALSE,0.020508047,
GAGE10_GAGE12J,GAGE10,GAGE12J,1,TRUE,FALSE,0.02181283,
GAGE10_GAGE13,GAGE10,GAGE13,1,TRUE,FALSE,0.041555047,
GAGE12C_GAGE12D,GAGE12C,GAGE12D,1,TRUE,FALSE,0.110287145,
GAGE12C_GAGE12E,GAGE12C,GAGE12E,1,TRUE,FALSE,0.104722157,
GAGE12C_GAGE12J,GAGE12C,GAGE12J,1,TRUE,FALSE,0.094923772,
GAGE12C_GAGE13,GAGE12C,GAGE13,1,TRUE,FALSE,0.100100398,
GAGE12D_GAGE12J,GAGE12D,GAGE12J,1,TRUE,FALSE,0.093395993,
GAGE12E_GAGE12J,GAGE12E,GAGE12J,1,TRUE,FALSE,0.089789942,
GAGE12J_GAGE13,GAGE12J,GAGE13,1,TRUE,FALSE,0.094740905,
GAGE1_GAGE10,GAGE1,GAGE10,1,TRUE,FALSE,0.020646345,
